job_title_cleaned,job_level,Rating,Company Name,Location,Headquarters,job_state,same_location,Size,years_of_operation,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,python,r,excel,sql,tableau,power_bi,hadoop,spark,kafka,aws,big_data,machine_learning
Data Scientist,Senior,3.1,Healthfirst,"New York, NY","New York, NY", NY,True,1001 to 5000,31,Nonprofit Organization,Insurance Carriers,Insurance,NA,137,171,154,False,False,False,False,False,False,False,False,False,True,False,True
Data Scientist, Other,4.2,ManTech,"Chantilly, VA","Herndon, VA", VA,False,5001 to 10000,56,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),137,171,154,False,False,False,True,False,False,True,False,False,False,True,True
Data Scientist, Other,3.8,Analysis Group,"Boston, MA","Boston, MA", MA,True,1001 to 5000,43,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),137,171,154,True,True,False,False,False,False,False,False,False,True,False,True
Data Scientist, Other,3.5,INFICON,"Newton, MA","Bad Ragaz, Switzerland", MA,False,501 to 1000,24,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),137,171,154,True,False,False,True,False,False,False,False,False,False,False,True
Data Scientist, Other,2.9,Affinity Solutions,"New York, NY","New York, NY", NY,True,51 to 200,26,Company - Private,Advertising & Marketing,Business Services,NA,137,171,154,True,True,False,True,False,False,False,False,False,False,False,True
Data Scientist, Other,4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA", CA,True,51 to 200,14,Company - Private,Computer Hardware & Software,Information Technology,NA,137,171,154,True,False,False,False,False,False,True,True,False,False,False,True
Data Scientist, Other,3.9,Novartis,"Cambridge, MA","Basel, Switzerland", MA,False,10000+,28,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,171,154,True,True,False,False,False,False,False,False,False,False,False,True
Data Scientist, Other,3.5,iRobot,"Bedford, MA","Bedford, MA", MA,True,1001 to 5000,34,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),137,171,154,True,False,False,True,False,False,False,False,False,False,False,False
Data Scientist, Other,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA", CA,False,5001 to 10000,41,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),137,171,154,False,False,False,False,False,False,False,False,False,False,False,False
Data Scientist, Other,3.6,XSELL Technologies,"Chicago, IL","Chicago, IL", IL,True,51 to 200,10,Company - Private,Enterprise Software & Network Solutions,Information Technology,NA,137,171,154,True,False,False,True,False,False,False,False,False,False,False,True
Data Scientist, Other,4.5,Novetta,"Herndon, VA","Mc Lean, VA", VA,False,501 to 1000,12,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),137,171,154,True,True,False,False,False,False,False,False,False,True,False,True
Data Scientist, Other,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO", MO,True,51 to 200,8,Company - Private,IT Services,Information Technology,NA,137,171,154,True,True,False,True,False,False,False,True,False,False,False,True
Data Scientist, Other,3.7,PNNL,"Richland, WA","Richland, WA", WA,True,1001 to 5000,59,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),137,171,154,False,False,False,False,False,False,False,False,False,False,False,True
Other, Other,3.1,Old World Industries,"Northbrook, IL","Northbrook, IL", IL,True,201 to 500,51,Company - Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion (USD),137,171,154,True,False,False,True,True,False,False,False,False,False,False,False
Data Scientist, Other,3.4,Mathematica Policy Research,"Washington, DC","Princeton, NJ", DC,False,1001 to 5000,38,Company - Private,Consulting,Business Services,$100 to $500 million (USD),137,171,154,True,True,False,False,False,False,False,False,False,True,False,True
Data Scientist, Other,4.4,Guzman & Griffin Technologies (GGTI),"Washington, DC","Mays Landing, NJ", DC,False,1 to 50,27,Company - Private,Federal Agencies,Government,NA,137,171,154,True,True,False,True,True,False,True,True,False,False,False,True
Data Scientist, Other,4.1,Upside Business Travel,Remote,"Washington, DC",,False,51 to 200,9,Company - Private,Internet,Information Technology,NA,137,171,154,True,False,False,False,False,False,False,False,False,False,False,True
Data Scientist, Other,3.5,Buckman,"Memphis, TN","Memphis, TN", TN,True,1001 to 5000,79,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),137,171,154,True,True,False,True,False,False,True,False,False,False,False,True
Analyst, Other,4.2,"Insight Enterprises, Inc.","Plano, TX","Tempe, AZ", TX,False,5001 to 10000,36,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),137,171,154,False,False,True,False,False,False,False,False,False,False,False,False
Other, Other,3.5,Tower Health,"West Grove, PA","Reading, PA", PA,False,5001 to 10000,7,Nonprofit Organization,Health Care Services & Hospitals,Health Care,NA,137,171,154,False,False,False,False,False,False,False,False,False,False,False,False
Data Scientist, Other,3.2,Triplebyte,"New York, NY","San Francisco, CA", NY,False,51 to 200,9,Company - Private,Computer Hardware & Software,Information Technology,NA,137,171,154,False,False,False,False,False,False,False,False,False,False,False,True
Data Scientist, Other,4.3,PulsePoint,"New York, NY","New York, NY", NY,True,51 to 200,13,Company - Private,Internet,Information Technology,$100 to $500 million (USD),137,171,154,True,False,False,False,False,False,True,True,False,False,True,True
Other, Other,3.5,Exponent,"Phoenix, AZ","Menlo Park, CA", AZ,False,1001 to 5000,57,Company - Public,Consulting,Business Services,$100 to $500 million (USD),137,171,154,False,False,False,False,False,False,False,False,False,False,False,False
Analyst, Other,3.5,Guardian Life,"Appleton, WI","New York, NY", WI,False,5001 to 10000,164,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),137,171,154,False,False,False,False,False,False,False,False,False,False,False,False
Data Scientist, Other,3.4,Spectrum Communications and Consulting,"Chicago, IL","Chicago, IL", IL,True,51 to 200,32,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),137,171,154,False,True,False,True,False,False,False,False,False,False,False,False
